Image,Title,Price,Rating,Author
https://m.media-amazon.com/images/I/41FBMkY3cgL._AC_UY218_.jpg,The Art of War,? 199,4.1 out of 5 stars,Sun Tzu
,,,,
https://m.media-amazon.com/images/I/51vlzzkNlSL._AC_UY218_.jpg,"Advanced Engineering Mathematics, 10ed, ISV",? 773,3.9 out of 5 stars,"
    
        
        
            Erwin Kreyszig
        
    
"
,,,,
https://m.media-amazon.com/images/I/51dJUcDMNRL._AC_UY218_.jpg,"Callister's Materials Science and Engineering, 2ed (WIND)",? 491,3.8 out of 5 stars,by 
,,,,
https://m.media-amazon.com/images/I/81N7ztYWjLL._AC_UY218_.jpg,GATE Mechanical Engineering  | GATE 2020 | By Pearson,? 581,1.0 out of 5 stars,by 
,,,,
https://m.media-amazon.com/images/I/61ZrOlFRuJL._AC_UY218_.jpg,"Previous Years' Solved Question Papers: GATE Mechanical Engineering, 2019 by Pearson",? 353,3.8 out of 5 stars,"
    
        
        
            Pearson Education
        
    
"
,,,,
https://m.media-amazon.com/images/I/71HZxdrBu4L._AC_UY218_.jpg,Environmental Engineering Water Supply Engineering - Vol.1,? 430,4.0 out of 5 stars,"
    
        
        
            Santosh Kumar Garg
        
    
"
,,,,
https://m.media-amazon.com/images/I/71+QUJinrQL._AC_UY218_.jpg,Op-Amps and Linear Integrated Circuits,? 310,3.9 out of 5 stars,Ramakant A. Gayakwad
,,,,
https://m.media-amazon.com/images/I/61a8asVa-CL._AC_UY218_.jpg,A Guidebook to Mechanism in Organic Chemistry,? 442,4.3 out of 5 stars,"
    
        
        
            Peter Sykes
        
    
"
,,,,
https://m.media-amazon.com/images/I/61HJDlPqfcL._AC_UY218_.jpg,Theory of Machines,? 460,4.4 out of 5 stars,"
    
        
        
            R.S. Khurmi
        
    
"
,,,,
https://m.media-amazon.com/images/I/51p7EK0FBpL._AC_UY218_.jpg,Surveying and Levelling,? 386,4.5 out of 5 stars,N N Basak
,,,,
https://m.media-amazon.com/images/I/5164ZIuje3L._AC_UY218_.jpg,Practical Boiler Operation Engineering & Power,? 552,4.4 out of 5 stars,Mallick Amiya Ranjan
,,,,
https://m.media-amazon.com/images/I/51aTEU3k6IL._AC_UY218_.jpg,Machine Learning (in Python and R) For Dummies,? 582,4.5 out of 5 stars,"
    
        
        
            Luca Massaron
        
    
"
,,,,
https://m.media-amazon.com/images/I/61TRe-AWKvL._AC_UY218_.jpg,Principles of Electronics,? 649,4.6 out of 5 stars,"
    
        
        
            Rohit Mehta
        
    
"
,,,,
https://m.media-amazon.com/images/I/61qsE98AbeL._AC_UY218_.jpg,Semiconductor Physics and Devices (SIE),? 559,3.6 out of 5 stars,Donald Neamen
,,,,
https://m.media-amazon.com/images/I/41lUCdQLFGL._AC_UY218_.jpg,Seeing Like a Feminist,? 233,3.9 out of 5 stars,"
    
        
        
            Nivedita Menon
        
    
"
,,,,
https://m.media-amazon.com/images/I/71uQ8VB99rL._AC_UY218_.jpg,Machine Learning using Python,? 512,4.4 out of 5 stars,"Manaranjan Pradhan, U Dinesh Kumar"
,,,,
https://m.media-amazon.com/images/I/41vKG7RVUIL._AC_UY218_.jpg,Introduction to Machine Learning with Python: A Guide for Data Scientists,"? 1,200",3.9 out of 5 stars,Andreas Muller
,,,,
https://m.media-amazon.com/images/I/81jwPafTlUL._AC_UY218_.jpg,"The Feynman Lectures on Physics: Mainly Mechanics, Radiation and Heat - Vol. 1",? 645,4.4 out of 5 stars,"
    
        
        
            Richard P. Feynman
        
    
"
,,,,
https://m.media-amazon.com/images/I/91FfV24UbFL._AC_UY218_.jpg,Let's Crack EKT - Engineering Knowledge Test [ALL IN ONE],? 370,3.9 out of 5 stars,SSBCrack
,,,,
https://m.media-amazon.com/images/I/51NnOvXIhNL._AC_UY218_.jpg,Programming with C,? 390,4.5 out of 5 stars,Byron S Gottfried
,,,,
https://m.media-amazon.com/images/I/5135mMfgr8L._AC_UY218_.jpg,Objective Mechanical Engineering,? 106,3.8 out of 5 stars,"
    
        
        
            P.K. Mishra
        
    
"
,,,,
https://m.media-amazon.com/images/I/51vlzzkNlSL._AC_UY218_.jpg,"Advanced Engineering Mathematics, 10ed, ISV",? 773,3.9 out of 5 stars,"
    
        
        
            Erwin Kreyszig
        
    
"
,,,,
https://m.media-amazon.com/images/I/51dJUcDMNRL._AC_UY218_.jpg,"Callister's Materials Science and Engineering, 2ed (WIND)",? 491,3.8 out of 5 stars,by 
,,,,
https://m.media-amazon.com/images/I/81N7ztYWjLL._AC_UY218_.jpg,GATE Mechanical Engineering  | GATE 2020 | By Pearson,? 581,1.0 out of 5 stars,by 
,,,,
https://m.media-amazon.com/images/I/61ZrOlFRuJL._AC_UY218_.jpg,"Previous Years' Solved Question Papers: GATE Mechanical Engineering, 2019 by Pearson",? 353,3.8 out of 5 stars,"
    
        
        
            Pearson Education
        
    
"
,,,,
